cenario,modo,erro,cf_teta,n_picos,qualidade
Sintetico_EU,sem,0.2647829497048494,8.017115863991213,4,False
Sintetico_EU,gaussiana,0.16469092693023202,8.018152132153256,4,False
Sintetico_EU,cirurgica,0.25450695153345143,8.016987367913762,3,False
Sintetico_EU,hibrido,0.16315425757899463,8.016527172485844,4,False
Sintetico_BR,sem,0.2194077249927749,8.017342534589988,4,False
Sintetico_BR,gaussiana,0.16756828734578846,8.01782509847597,4,False
Sintetico_BR,cirurgica,0.16331369012535243,8.018128351788391,4,False
Sintetico_BR,hibrido,0.16331369012535243,8.018128351788391,4,False
CA1,sem,0.07621924087059895,8.859837534585399,4,True
CA1,gaussiana,0.0746999948135296,8.859145747340781,4,True
CA1,cirurgica,0.07507374389521926,8.859010549084152,4,True
CA1,hibrido,0.07520299145709072,8.858890617601158,4,True
DG,sem,0.0339061284359809,9.437806718455535,4,True
DG,gaussiana,0.0339061284359809,9.437806718455535,4,True
DG,cirurgica,0.0339061284359809,9.437806718455535,4,True
DG,hibrido,0.0339061284359809,9.437806718455535,4,True
